CUI,NAME,DEF
C0000039,"1,2-dipalmitoylphosphatidylcholine",Synthetic phospholipid used in liposomes and lipid bilayers to study biological membranes. It is also a major constituent of PULMONARY SURFACTANTS.
C0000052,"1,4-alpha-Glucan Branching Enzyme","In glycogen or amylopectin synthesis, the enzyme that catalyzes the transfer of a segment of a 1,4-alpha-glucan chain to a primary hydroxy group in a similar glucan chain. EC 2.4.1.18."
C0000084,1-Carboxyglutamic Acid,"Found in various tissues, particularly in four blood-clotting proteins including prothrombin, in kidney protein, in bone protein, and in the protein present in various ectopic calcifications."
C0000096,1-Methyl-3-isobutylxanthine,"A potent cyclic nucleotide phosphodiesterase inhibitor; due to this action, the compound increases cyclic AMP and cyclic GMP in tissue and thereby activates CYCLIC NUCLEOTIDE-REGULATED PROTEIN KINASES"
C0000097,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine","A dopaminergic neurotoxic compound which produces irreversible clinical, chemical, and pathological alterations that mimic those found in Parkinson disease."
C0000098,1-Methyl-4-phenylpyridinium,"An active neurotoxic metabolite of 1-METHYL-4-PHENYL-1,2,3,6-TETRAHYDROPYRIDINE. The compound reduces dopamine levels, inhibits the biosynthesis of catecholamines, depletes cardiac norepinephrine and inactivates tyrosine hydroxylase. These and other toxic effects lead to cessation of oxidative phosphorylation, ATP depletion, and cell death. The compound, which is related to PARAQUAT, has also been used as an herbicide."
C0000102,1-Naphthylamine,A suspected industrial carcinogen (and listed as such by OSHA). Its N-hydroxy metabolite is strongly carcinogenic and mutagenic.
C0000103,1-Naphthylisothiocyanate,"A tool for the study of liver damage which causes bile stasis and hyperbilirubinemia acutely and bile duct hyperplasia and biliary cirrhosis chronically, with changes in hepatocyte function. It may cause skin and kidney damage."
C0000107,1-Sarcosine-8-Isoleucine Angiotensin II,An ANGIOTENSIN II analog which acts as a highly specific inhibitor of ANGIOTENSIN TYPE 1 RECEPTOR.
C0000119,11-Hydroxycorticosteroids,A group of corticosteroids bearing a hydroxy group at the 11-position.
C0000139,"16,16-Dimethylprostaglandin E2","A synthetic prostaglandin E analog that protects the gastric mucosa, prevents ulceration, and promotes the healing of peptic ulcers. The protective effect is independent of acid inhibition. It is also a potent inhibitor of pancreatic function and growth of experimental tumors."
C0000163,17-Hydroxycorticosteroids,"A group of hydroxycorticosteroids bearing a hydroxy group at the 17-position. Urinary excretion of these compounds is used as an index of adrenal function. They are used systemically in the free alcohol form, but with esterification of the hydroxy groups, topical effectiveness is increased."
C0000165,17-Hydroxysteroid Dehydrogenases,A class of enzymes that catalyzes the oxidation of 17-hydroxysteroids to 17-ketosteroids. EC 1.1.-.
C0000167,17-Ketosteroids,Steroids that contain a ketone group at position 17.
C0000172,18-Hydroxycorticosterone,"11 beta,18,21-Trihydroxypregn-4-ene-3,20-dione."
C0000173,18-Hydroxydesoxycorticosterone,An analog of desoxycorticosterone which is substituted by a hydroxyl group at the C-18 position.
