source,target,edge
"1-Methyl-4-Phenyl-1,2,3,6-Tetrahydropyridine (MPTP)",NEUROTOX SYNDROME MPTP,has causative agent
T A 02 04 05,"Accidental poisoning by 2,4,5-T (event)",has causative agent
T A 02 04 05,"2,4,5-T causing toxic effect (disorder)",has causative agent
T A 02 04 05,"Accidental poisoning caused by 2,4,5-Trichlorophenoxyacetic acid (disorder)",has causative agent
D A 002 004,"2,4-Dichlorophenoxyacetic acid poisoning (disorder)",has causative agent
D A 002 004,"Accidental poisoning by 2,4-D (event)",has causative agent
D A 002 004,"Accidental poisoning caused by 2,4-Dichlorophenoxyacetic acid (disorder)",has causative agent
sodium 2-mercaptoethane sulfonate,sodium 2-mercaptoethane sulfonate,has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna 400mg tablet (substance),has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna 400mg tablet (substance),has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna 600mg tablet (substance),has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna 600mg tablet (substance),has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna adverse reaction (disorder),has causative agent
sodium 2-mercaptoethane sulfonate,Mesna allergy (disorder),has causative agent
sodium 2-mercaptoethane sulfonate,Mesna allergy (disorder),has causative agent
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,"MESNA 100 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION",has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna-containing product in parenteral dose form,has active ingredient
sodium 2-mercaptoethane sulfonate,Mesna-containing product in oral dose form,has active ingredient
